id,Name,path,url
2596,Designers/All Designers/L'agence/Clothing/,1/2/1517/1898/2060/2596,/designers/all-designers/lagence/clothing.html
2061,Designers/All Designers/La't For L'agence/,1/2/1517/1898/2061,/designers/all-designers/lat-for-lagence.html
2597,Designers/All Designers/La't For L'agence/Clothing/,1/2/1517/1898/2061/2597,/designers/all-designers/lat-for-lagence/clothing.html
2066,Designers/All Designers/Lauren Merkin/,1/2/1517/1898/2066,/designers/all-designers/lauren-merkin.html
2657,Designers/All Designers/Lauren Merkin/Handbags/,1/2/1517/1898/2066/2657,/designers/all-designers/lauren-merkin/handbags.html
2068,Designers/All Designers/Leenoy/,1/2/1517/1898/2068,/designers/all-designers/leenoy.html
2070,Designers/All Designers/Leon & Harper/,1/2/1517/1898/2070,/designers/all-designers/leon-and-harper.html
2071,Designers/All Designers/Les Chiffoniers/,1/2/1517/1898/2071,/designers/all-designers/les-chiffoniers.html
2073,Designers/All Designers/Lionette Ny/,1/2/1517/1898/2073,/designers/all-designers/lionette-ny.html
2077,Designers/All Designers/Loeffler Randall/,1/2/1517/1898/2077,/designers/all-designers/loeffler-randall.html
2646,Designers/All Designers/Loeffler Randall/Handbags/,1/2/1517/1898/2077/2646,/designers/all-designers/loeffler-randall/handbags.html
2627,Designers/All Designers/Loeffler Randall/Shoes/,1/2/1517/1898/2077/2627,/designers/all-designers/loeffler-randall/shoes.html
2078,Designers/All Designers/Love Leather/,1/2/1517/1898/2078,/designers/all-designers/love-leather.html
2080,Designers/All Designers/Love Sam/,1/2/1517/1898/2080,/designers/all-designers/love-sam.html
2081,Designers/All Designers/Lyra Lovestar By Crystal Streets/,1/2/1517/1898/2081,/designers/all-designers/lyra-lovestar-by-crystal-streets.html
2086,Designers/All Designers/Mackage/,1/2/1517/1898/2086,/designers/all-designers/mackage.html
2611,Designers/All Designers/Mackage/Clothing/,1/2/1517/1898/2086/2611,/designers/all-designers/mackage/clothing.html
2088,Designers/All Designers/Mademoiselle Tara/,1/2/1517/1898/2088,/designers/all-designers/mademoiselle-tara.html
2594,Designers/All Designers/Mademoiselle Tara/Clothing/,1/2/1517/1898/2088/2594,/designers/all-designers/mademoiselle-tara/clothing.html
2091,Designers/All Designers/Maison Boinet/,1/2/1517/1898/2091,/designers/all-designers/maison-boinet.html
2092,Designers/All Designers/Maison Scotch/,1/2/1517/1898/2092,/designers/all-designers/maison-scotch.html
2587,Designers/All Designers/Maison Scotch/Clothing/,1/2/1517/1898/2092/2587,/designers/all-designers/maison-scotch/clothing.html
2093,Designers/All Designers/Mara Hoffman/,1/2/1517/1898/2093,/designers/all-designers/mara-hoffman.html
2095,Designers/All Designers/Maria Francesca Pepe/,1/2/1517/1898/2095,/designers/all-designers/maria-francesca-pepe.html
2097,Designers/All Designers/Marie-Laure Chamorel/,1/2/1517/1898/2097,/designers/all-designers/marie-laure-chamorel.html
2096,Designers/All Designers/Marie Turnor/,1/2/1517/1898/2096,/designers/all-designers/marie-turnor.html
2651,Designers/All Designers/Marie Turnor/Handbags/,1/2/1517/1898/2096/2651,/designers/all-designers/marie-turnor/handbags.html
2085,Designers/All Designers/Ma'ry'ra/,1/2/1517/1898/2085,/designers/all-designers/maryra.html
2099,Designers/All Designers/Mason/,1/2/1517/1898/2099,/designers/all-designers/mason.html
2604,Designers/All Designers/Mason/Clothing/,1/2/1517/1898/2099/2604,/designers/all-designers/mason/clothing.html
2100,Designers/All Designers/Masscob/,1/2/1517/1898/2100,/designers/all-designers/masscob.html
2101,Designers/All Designers/Mathias Chaize/,1/2/1517/1898/2101,/designers/all-designers/mathias-chaize.html
2102,Designers/All Designers/Mcq Alexander Mcqueen/,1/2/1517/1898/2102,/designers/all-designers/mcq-alexander-mcqueen.html
2642,Designers/All Designers/Mcq Alexander Mcqueen/Shoes/,1/2/1517/1898/2102/2642,/designers/all-designers/mcq-alexander-mcqueen/shoes.html
2103,Designers/All Designers/Meg Cohen/,1/2/1517/1898/2103,/designers/all-designers/meg-cohen.html
2622,Designers/All Designers/Meg Cohen/Accessories/,1/2/1517/1898/2103/2622,/designers/all-designers/meg-cohen/accessories.html
